# Multi-sample, combined g-g g-k C_l.
# Samples: [51, 53, 61, 63]
# Have 32 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   64.50  4.99707000e-05  5.51336000e-07  4.61497000e-05  5.21629000e-07  6.16638000e-05  3.31016000e-07  4.94669000e-05  1.14729000e-08
   94.50  3.29918000e-05  3.01027000e-07  3.38320000e-05  4.38558000e-07  2.73051000e-05  4.12135000e-07  3.28989000e-05  3.82806000e-07
  124.50  2.65068000e-05  2.48615000e-07  2.72145000e-05  3.93551000e-07  2.78153000e-05  4.40566000e-07  2.71921000e-05  3.83314000e-07
  154.50  2.13120000e-05  3.59961000e-07  2.00958000e-05  3.61298000e-07  2.16555000e-05  4.38181000e-07  2.02003000e-05  4.02132000e-07
  184.50  1.78657000e-05  1.83445000e-07  1.78872000e-05  1.56827000e-07  1.59637000e-05 -1.76011000e-08  1.88236000e-05  1.38680000e-07
  214.50  1.60489000e-05  1.21125000e-07  1.59881000e-05  2.10646000e-07  1.32410000e-05  2.24777000e-07  1.57916000e-05  2.59808000e-07
  244.50  1.55101000e-05  1.63931000e-07  1.42171000e-05  1.93619000e-07  1.30548000e-05  1.91750000e-07  1.39415000e-05  9.02227000e-08
  274.50  1.35722000e-05  4.80987000e-08  1.37177000e-05  1.20871000e-07  1.21450000e-05  2.79795000e-07  1.29964000e-05  1.23268000e-07
  304.50  1.21747000e-05  1.00082000e-07  1.22175000e-05  6.03338000e-08  1.15164000e-05  1.77035000e-07  1.32722000e-05  1.49072000e-07
  334.50  1.18149000e-05  1.94213000e-07  1.23638000e-05  1.51511000e-07  1.15154000e-05  9.92063000e-08  1.19466000e-05  6.67588000e-08
  364.50  1.17174000e-05  4.38982000e-08  1.10709000e-05 -1.22877000e-08  1.14621000e-05  8.17843000e-09  1.13482000e-05  1.80895000e-07
  394.50  1.11080000e-05  4.13385000e-08  1.09526000e-05  3.68606000e-08  9.85366000e-06  1.38435000e-07  1.04013000e-05  1.75962000e-07
  424.50  1.08410000e-05  4.59970000e-08  1.01695000e-05  1.19082000e-07  9.22499000e-06 -3.19471000e-08  1.07002000e-05  6.40876000e-08
  454.50  1.06203000e-05  1.39903000e-07  9.62216000e-06  6.36932000e-08  9.24298000e-06  4.83505000e-08  1.00771000e-05  1.00530000e-07
  484.50  9.66606000e-06  5.22190000e-08  9.58737000e-06  1.24948000e-07  9.36748000e-06  1.09607000e-07  9.50978000e-06 -2.03386000e-08
  514.50  9.87548000e-06  4.56179000e-08  9.14524000e-06  1.12173000e-07  8.71537000e-06 -2.74755000e-08  9.69404000e-06 -1.96931000e-08
  544.50  9.63813000e-06  8.11558000e-08  9.24204000e-06  1.04698000e-07  7.98607000e-06 -4.39868000e-09  9.30281000e-06 -4.45147000e-08
  574.50  9.46069000e-06  9.52115000e-08  8.96239000e-06 -2.75670000e-09  8.24528000e-06  2.11072000e-07  9.29171000e-06 -3.67732000e-08
  604.50  9.41208000e-06  1.00924000e-07  8.74430000e-06 -2.35023000e-08  8.44586000e-06  5.54397000e-08  9.07555000e-06  1.61596000e-07
  634.50  9.11403000e-06  8.20173000e-08  8.54180000e-06  3.30680000e-08  8.18942000e-06  1.00648000e-07  9.29059000e-06  1.91763000e-07
  664.50  8.98307000e-06  5.50053000e-08  8.41721000e-06  1.02952000e-07  8.28393000e-06  7.56027000e-08  8.29631000e-06  1.89922000e-07
  694.50  8.97831000e-06  2.11941000e-08  8.63701000e-06  5.55187000e-08  8.31382000e-06  8.85821000e-09  9.05009000e-06  8.78061000e-08
  724.50  8.93681000e-06  1.14369000e-07  8.37305000e-06  6.08234000e-08  7.98715000e-06  1.91484000e-08  8.61162000e-06 -1.66621000e-08
  754.50  8.86262000e-06  6.27369000e-08  8.37504000e-06  2.38179000e-08  8.06341000e-06  9.33246000e-08  9.25446000e-06  2.27034000e-08
  784.50  8.71249000e-06  3.25437000e-08  8.23681000e-06  1.79048000e-08  7.63420000e-06  2.52845000e-08  8.49846000e-06  3.65743000e-08
  814.50  8.92900000e-06  4.80794000e-08  8.13627000e-06  2.18122000e-08  7.86888000e-06 -2.56122000e-08  8.37825000e-06 -2.81403000e-08
  844.50  8.45595000e-06  6.69682000e-08  8.12822000e-06  5.27066000e-08  7.77688000e-06 -6.96823000e-09  8.34175000e-06 -1.63890000e-08
  874.50  8.50609000e-06 -2.38011000e-09  7.94347000e-06  2.84124000e-08  7.73634000e-06  6.08137000e-08  8.06814000e-06  8.76366000e-08
  904.50  8.51645000e-06  3.36834000e-08  8.27374000e-06  6.22647000e-08  7.65660000e-06  5.74072000e-08  8.32742000e-06  5.27000000e-08
  934.50  8.23064000e-06  4.29405000e-08  7.92957000e-06  3.28117000e-08  7.66457000e-06 -1.91857000e-08  8.43873000e-06  1.81120000e-08
  964.50  8.56055000e-06  3.12744000e-08  8.12838000e-06  4.74534000e-08  7.45483000e-06  1.31037000e-07  8.31342000e-06  6.30612000e-08
  994.50  8.23888000e-06  8.15710000e-09  7.88514000e-06  3.46919000e-08  7.75980000e-06  3.30540000e-08  8.75485000e-06  1.69872000e-09
